Date,Time,Open,High,Low,Close,Volume
2014.02.04,00:00,1.63083,1.63445,1.62565,1.63287,136095
2014.02.05,00:00,1.63287,1.63406,1.62518,1.63233,146384
2014.02.06,00:00,1.63235,1.63481,1.62724,1.63203,149388
2014.02.07,00:00,1.63204,1.64181,1.62991,1.64068,140426
2014.02.09,00:00,1.63873,1.64144,1.63873,1.64077,2307
2014.02.10,00:00,1.64077,1.64269,1.63830,1.64049,95285
2014.02.11,00:00,1.64046,1.64873,1.63920,1.64467,134832
2014.02.12,00:00,1.64467,1.66186,1.64255,1.66085,172596
2014.02.13,00:00,1.66082,1.66737,1.66000,1.66552,77760
2014.02.14,00:00,1.66552,1.67555,1.66441,1.67458,68213
2014.02.17,00:00,1.67679,1.68226,1.66951,1.67123,54123
2014.02.18,00:00,1.67099,1.67412,1.66546,1.66827,73754
2014.02.19,00:00,1.66827,1.67339,1.66368,1.66794,68175
2014.02.20,00:00,1.66785,1.67002,1.66251,1.66504,73956
2014.02.21,00:00,1.66482,1.67251,1.66097,1.66154,76994
2014.02.24,00:00,1.66218,1.66789,1.65834,1.66517,62865
2014.02.25,00:00,1.66517,1.67270,1.66416,1.66814,69417
2014.02.26,00:00,1.66795,1.67017,1.66216,1.66721,68341
2014.02.27,00:00,1.66658,1.66986,1.66161,1.66878,76347
2014.02.28,00:00,1.66828,1.67687,1.66762,1.67399,102125
2014.03.03,00:00,1.67114,1.67511,1.66529,1.66649,71195
2014.03.04,00:00,1.66644,1.67164,1.66403,1.66622,61282
2014.03.05,00:00,1.66659,1.67399,1.66566,1.67177,59632
2014.03.06,00:00,1.67181,1.67775,1.66853,1.67377,69957
2014.03.07,00:00,1.67374,1.67856,1.67062,1.67163,57593
2014.03.10,00:00,1.67273,1.67407,1.66219,1.66437,52462
2014.03.11,00:00,1.66427,1.66530,1.65962,1.66143,52027
2014.03.12,00:00,1.66141,1.66356,1.65683,1.66169,59057
2014.03.13,00:00,1.66169,1.67182,1.66064,1.66229,72275
2014.03.14,00:00,1.66229,1.66499,1.65869,1.66439,65960
2014.03.17,00:00,1.66419,1.66659,1.66047,1.66356,46095
2014.03.18,00:00,1.66356,1.66476,1.65452,1.65916,61262
2014.03.19,00:00,1.65916,1.66542,1.65078,1.65376,69795
2014.03.20,00:00,1.65376,1.65681,1.64799,1.65016,60737
2014.03.21,00:00,1.65037,1.65203,1.64754,1.64846,45478
2014.03.24,00:00,1.64627,1.65364,1.64622,1.64966,53796
2014.03.25,00:00,1.64960,1.65492,1.64807,1.65287,62865
2014.03.26,00:00,1.65249,1.65969,1.65092,1.65807,61534
2014.03.27,00:00,1.65791,1.66468,1.65549,1.66091,65339
2014.03.28,00:00,1.66098,1.66510,1.65970,1.66423,43700
2014.03.31,00:00,1.66550,1.66838,1.66114,1.66628,50419
2014.04.01,00:00,1.66643,1.66746,1.66182,1.66291,42827
2014.04.02,00:00,1.66253,1.66638,1.66201,1.66253,42031
2014.04.03,00:00,1.66248,1.66607,1.65702,1.65972,47752
2014.04.04,00:00,1.65969,1.66056,1.65516,1.65731,42804
2014.04.07,00:00,1.65683,1.66236,1.65654,1.66064,38803
2014.04.08,00:00,1.66053,1.67543,1.66033,1.67467,47580
2014.04.09,00:00,1.67469,1.68001,1.67241,1.67924,46146
2014.04.10,00:00,1.67927,1.68201,1.67543,1.67840,47422
2014.04.11,00:00,1.67828,1.67871,1.67173,1.67318,44269
2014.04.14,00:00,1.67197,1.67436,1.66967,1.67284,43279
2014.04.15,00:00,1.67282,1.67485,1.66597,1.67280,44902
2014.04.16,00:00,1.67261,1.68177,1.67200,1.67953,46319
2014.04.17,00:00,1.67956,1.68418,1.67868,1.67928,40802
2014.04.18,00:00,1.67915,1.68041,1.67740,1.67918,25389
2014.04.21,00:00,1.67889,1.68186,1.67830,1.67912,26794
2014.04.22,00:00,1.67907,1.68392,1.67858,1.68234,39321
2014.04.23,00:00,1.68219,1.68357,1.67626,1.67809,42299
2014.04.24,00:00,1.67809,1.68060,1.67652,1.68019,40589
2014.04.25,00:00,1.68016,1.68286,1.67899,1.68014,35890
2014.04.28,00:00,1.68025,1.68577,1.67774,1.68070,43919
